WKT;FID
"MULTILINESTRING ((-2.428241 49.499127,-2.4290465 49.4992656,-2.4294268 49.4993941,-2.4294247 49.4999111,-2.4289976 49.4997634,-2.4282467 49.4996491,-2.428241 49.499127))";"15"
"MULTILINESTRING ((-2.436595 49.491477,-2.4377585 49.491483,-2.4377825 49.4922484,-2.437351 49.4922464,-2.4371635 49.4919813,-2.436767 49.4917197,-2.436595 49.491477))";"16"
"MULTILINESTRING ((-2.429923 49.489906,-2.4306881 49.4900358,-2.431484 49.4901678,-2.431478 49.490683,-2.430317 49.4906813,-2.4301074 49.4904114,-2.429923 49.489906))";"17"
"MULTILINESTRING ((-2.4658381 49.4804486,-2.4659832 49.4803866,-2.4662114 49.4804849,-2.466186 49.4806321,-2.466017 49.4806725,-2.4658381 49.4804486))";"18"
"MULTILINESTRING ((-2.461063 49.4775448,-2.4611222 49.4775574,-2.4625261 49.4785918,-2.4623555 49.478637,-2.462161 49.4786364,-2.4618217 49.478648,-2.4615552 49.478681,-2.4612754 49.4786111,-2.4610683 49.478522,-2.460946 49.478446,-2.460947 49.4781192,-2.46106 49.4779531,-2.4610347 49.4775816,-2.461063 49.4775448))";"19"
"MULTILINESTRING ((-2.456192 49.4725352,-2.456184 49.4723764,-2.4562752 49.4722735,-2.4564469 49.4722175,-2.4565937 49.4722725,-2.456694 49.4723348,-2.4567942 49.4724582,-2.4568902 49.472662,-2.4569054 49.4727345,-2.4568778 49.4728071,-2.4566937 49.4728755,-2.4564757 49.4729007,-2.4562946 49.4728849,-2.4560452 49.4727919,-2.4560311 49.4727029,-2.4561243 49.4726103,-2.456192 49.4725352))";"20"
"MULTILINESTRING ((-2.4404673 49.4688119,-2.4406589 49.4687156,-2.4409285 49.4688022,-2.4410822 49.469043,-2.4411915 49.4692298,-2.4411787 49.4693647,-2.4408895 49.4693278,-2.4408184 49.4691701,-2.440677 49.469001,-2.4404673 49.4688119))";"21"
"MULTILINESTRING ((-2.4571201 49.4784076,-2.4573483 49.4786237,-2.4574685 49.4789531,-2.453971 49.4748069,-2.4540474 49.4749275,-2.454247 49.4753059,-2.4546873 49.4759398,-2.455336 49.4767515,-2.4560594 49.4774702,-2.45622 49.4774771,-2.4564876 49.4775726,-2.4567305 49.4777363,-2.45691 49.4778896,-2.4569745 49.478118,-2.4569744 49.4782347,-2.4571201 49.4784076))";"22"
"MULTILINESTRING ((-2.4635263 49.4623147,-2.4636129 49.462207,-2.4639538 49.4622622,-2.4643073 49.4622758,-2.4646759 49.4620928,-2.4651337 49.462177,-2.4656262 49.462272,-2.4656812 49.4624565,-2.4657432 49.4626322,-2.4655404 49.46278,-2.4656431 49.4631396,-2.4653362 49.4632332,-2.4651335 49.4631816,-2.4646641 49.4634339,-2.4642828 49.4630357,-2.4641585 49.4629059,-2.4639731 49.4626977,-2.4636615 49.4625544,-2.4635263 49.4623147))";"23"
"MULTILINESTRING ((-2.4623496 49.4566579,-2.4623953 49.4563375,-2.4608602 49.4574357,-2.4610262 49.4571872,-2.4615345 49.4570103,-2.4619223 49.4569548,-2.4623496 49.4566579))";"24"
